Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
ELOX,Eloxx Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Small cap,309362709,"380,636",Analyze,Biotechnology,,,,,,,,,
IMAB,I-MAB ADRs,Health Care,US Equity,ADRs,Small cap,307465715,"328,313",Analyze,Biotechnology,,,,,,,,,
OCGN,"Ocugen, Inc.",Health Care,US Equity,Common stocks,Small cap,306441650,"4,126,805",Analyze,Biotechnology,,,,,,,,,
FMTX,"Forma Therapeutics Holdings, Inc.",Health Care,US Equity,Common stocks,Small cap,301863008,"739,166",Analyze,Biotechnology,,,,,,,,,
PRLD,Prelude Therapeutics Incorporated,Health Care,US Equity,Common stocks,Micro cap,299914835,"107,282",Analyze,Biotechnology,,,,,,,,,
OPT,Opthea Limited ADRs,Health Care,US Equity,ADRs,Micro cap,299850572,"1,188",Analyze,Biotechnology,,,,,,,,,
OYST,"Oyster Point Pharma, Inc.",Health Care,US Equity,Common stocks,Micro cap,298776970,"237,953",Analyze,Biotechnology,,,,,,,,,
GBIO,Generation Bio Co.,Health Care,US Equity,Common stocks,Micro cap,297707712,"183,681",Analyze,Biotechnology,,,,,,,,,
KNTE,Kinnate Biopharma Inc.,Health Care,US Equity,Common stocks,Micro cap,297228317,"153,855",Analyze,Biotechnology,,,,,,,,,
AUTL,Autolus Therapeutics plc ADRs,Health Care,US Equity,ADRs,Micro cap,296180157,"155,823",Analyze,Biotechnology,,,,,,,,,
ADAP,Adaptimmune Therapeutics ADRs,Health Care,US Equity,ADRs,Micro cap,293253942,"635,685",Analyze,Biotechnology,,,,,,,,,
HRTX,Heron Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,292464780,"2,777,093",Analyze,Biotechnology,,,,,,,,,
VKTX,Viking Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,285281138,"740,539",Analyze,Biotechnology,,,,,,,,,
TYRA,"Tyra Biosciences, Inc.",Health Care,US Equity,Common stocks,Micro cap,285254634,"66,009",Analyze,Biotechnology,,,,,,,,,
STOK,"Stoke Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,281848088,"483,480",Analyze,Biotechnology,,,,,,,,,
QSI,Quantum-Si Incorporated - Class A,Health Care,US Equity,Common stocks,Micro cap,275727439,"770,754",Analyze,Biotechnology,,,,,,,,,
FHTX,Foghorn Therapeutics Inc.,Health Care,US Equity,Common stocks,Micro cap,274638667,"125,118",Analyze,Biotechnology,,,,,,,,,
MGTX,Meiragtx Holdings Plc,Health Care,US Equity,Common stocks,Micro cap,274615663,"226,926",Analyze,Biotechnology,,,,,,,,,
GTHX,G1 Therapeutics Inc.,Health Care,US Equity,Common stocks,Micro cap,272062594,"1,621,470",Analyze,Biotechnology,,,,,,,,,
ANNX,"Annexon, Inc.",Health Care,US Equity,Common stocks,Micro cap,265777593,"73,271",Analyze,Biotechnology,,,,,,,,,
DRTS,Alpha Tau Medical Ltd. - Class A,Health Care,US Equity,Common stocks,Micro cap,265693436,"39,771",Analyze,Biotechnology,,,,,,,,,
COCP,Cocrystal Pharma Inc.,Health Care,US Equity,Common stocks,Micro cap,265115680,"28,443",Analyze,Biotechnology,,,,,,,,,
ADCT,ADC Therapeutics SA,Health Care,US Equity,Common stocks,Micro cap,262268938,"689,933",Analyze,Biotechnology,,,,,,,,,
ATNM,Actinium Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,261968386,"371,166",Analyze,Biotechnology,,,,,,,,,
PALI,"Palisade Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,261451420,"4,996,218",Analyze,Biotechnology,,,,,,,,,
PDSB,PDS Biotechnology Corporation,Health Care,US Equity,Common stocks,Micro cap,250436454,"1,885,893",Analyze,Biotechnology,,,,,,,,,
FENC,"Fennec Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,250307906,"94,690",Analyze,Biotechnology,,,,,,,,,
DBVT,DBV Technologies S.A. ADRs,Health Care,US Equity,ADRs,Micro cap,246346655,"109,323",Analyze,Biotechnology,,,,,,,,,
AFMD,Affimed N.V.,Health Care,US Equity,Common stocks,Micro cap,245605346,"2,184,488",Analyze,Biotechnology,,,,,,,,,
BTX,"Brooklyn ImmunoTherapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,241303181,"2,557,644",Analyze,Biotechnology,,,,,,,,,
MOLN,Molecular Partners AG ADRs,Health Care,US Equity,ADRs,Micro cap,239336848,"8,393",Analyze,Biotechnology,,,,,,,,,
LCTX,"Lineage Cell Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,236267106,"384,124",Analyze,Biotechnology,,,,,,,,,
ABSI,AbSci Corp,Health Care,US Equity,Common stocks,Micro cap,235607018,"425,157",Analyze,Biotechnology,,,,,,,,,
VYGR,Voyager Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,233960517,"96,104",Analyze,Biotechnology,,,,,,,,,
ALRN,Aileron Therapeutics Inc.,Health Care,US Equity,Common stocks,Micro cap,230691936,"24,108",Analyze,Biotechnology,,,,,,,,,
CMPI,"Checkmate Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,230519568,"63,651",Analyze,Biotechnology,,,,,,,,,
CELU,Celularity Inc. - Class A,Health Care,US Equity,Common stocks,Micro cap,229121035,"561,770",Analyze,Biotechnology,,,,,,,,,
OTLK,"Outlook Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,228406080,"331,688",Analyze,Biotechnology,,,,,,,,,
GRTS,Gritstone Oncology Inc.,Health Care,US Equity,Common stocks,Micro cap,224255285,"718,852",Analyze,Biotechnology,,,,,,,,,
OCUL,Ocular Therapeutix Inc,Health Care,US Equity,Common stocks,Micro cap,223330117,"501,582",Analyze,Biotechnology,,,,,,,,,
VAXX,"Vaxxinity, Inc.",Health Care,US Equity,Common stocks,Micro cap,223241921,"753,527",Analyze,Biotechnology,,,,,,,,,
XOMA,Xoma Corp,Health Care,US Equity,Common stocks,Micro cap,223176540,"22,760",Analyze,Biotechnology,,,,,,,,,
GOSS,"Gossamer Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,222965250,"3,814,009",Analyze,Biotechnology,,,,,,,,,
TERN,"Terns Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,220417038,"414,015",Analyze,Biotechnology,,,,,,,,,
ABOS,"Acumen Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,217906807,"143,794",Analyze,Biotechnology,,,,,,,,,
CNCE,Concert Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,216680610,"275,109",Analyze,Biotechnology,,,,,,,,,
EVLO,Evelo Biosciences Inc,Health Care,US Equity,Common stocks,Micro cap,215987408,"149,704",Analyze,Biotechnology,,,,,,,,,
THRX,"Theseus Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,213310999,"35,174",Analyze,Biotechnology,,,,,,,,,
NAUT,"Nautilus Biotechnology, Inc.",Health Care,US Equity,Common stocks,Micro cap,213277228,"145,780",Analyze,Biotechnology,,,,,,,,,
SBTX,"Silverback Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,211662444,"116,700",Analyze,Biotechnology,,,,,,,,,
GRPH,"Graphite Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,203533110,"320,426",Analyze,Biotechnology,,,,,,,,,
XERS,Xeris Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,202617784,"592,033",Analyze,Biotechnology,,,,,,,,,
SELB,Selecta Biosciences Inc,Health Care,US Equity,Common stocks,Micro cap,200470737,"619,307",Analyze,Biotechnology,,,,,,,,,
IMMP,Immutep Limited ADRs,Health Care,US Equity,ADRs,Micro cap,200432395,"129,303",Analyze,Biotechnology,,,,,,,,,
MRNS,Marinus Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,199481973,"341,578",Analyze,Biotechnology,,,,,,,,,
URGN,UroGen Pharma Ltd.,Health Care,US Equity,Common stocks,Micro cap,198343435,"68,043",Analyze,Biotechnology,,,,,,,,,
BMEA,"Biomea Fusion, Inc.",Health Care,US Equity,Common stocks,Micro cap,197542773,"79,593",Analyze,Biotechnology,,,,,,,,,
PBYI,Puma Biotechnology Inc,Health Care,US Equity,Common stocks,Micro cap,197165383,"453,145",Analyze,Biotechnology,,,,,,,,,
GRNA,"GreenLight Biosciences Holdings, PBC",Health Care,US Equity,Common stocks,Micro cap,197017685,"350,750",Analyze,Biotechnology,,,,,,,,,
ACIU,AC Immune SA,Health Care,US Equity,Common stocks,Micro cap,192170276,"94,482",Analyze,Biotechnology,,,,,,,,,
ALPN,Alpine Immune Sciences,Health Care,US Equity,Common stocks,Micro cap,191524278,"95,558",Analyze,Biotechnology,,,,,,,,,
CMRX,Chimerix Inc,Health Care,US Equity,Common stocks,Micro cap,189297023,"1,301,620",Analyze,Biotechnology,,,,,,,,,
YMAB,"Y-Mabs Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,188209640,"549,603",Analyze,Biotechnology,,,,,,,,,
RANI,"Rani Therapeutics Holdings, Inc.",Health Care,US Equity,Common stocks,Micro cap,186635789,"50,516",Analyze,Biotechnology,,,,,,,,,
SVRA,Savara Inc,Health Care,US Equity,Common stocks,Micro cap,185891722,"73,338",Analyze,Biotechnology,,,,,,,,,
TMBR,"Timber Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,184606618,"144,757",Analyze,Biotechnology,,,,,,,,,
SCPH,scPharmaceuticals Inc.,Health Care,US Equity,Common stocks,Micro cap,183808356,"356,155",Analyze,Biotechnology,,,,,,,,,
BVXV,BiondVax Pharmaceuticals Ltd. ADRs,Health Care,US Equity,ADRs,Micro cap,183239283,"42,473",Analyze,Biotechnology,,,,,,,,,
IVA,Inventiva S.A. ADRs,Health Care,US Equity,ADRs,Micro cap,181887302,"10,668",Analyze,Biotechnology,,,,,,,,,
TCBP,TC BioPharm (Holdings) plc ADRs,Health Care,US Equity,Common stocks,Micro cap,179661650,"424,646",Analyze,Biotechnology,,,,,,,,,
BLI,"Berkeley Lights, Inc.",Health Care,US Equity,Common stocks,Micro cap,177609139,"790,980",Analyze,Biotechnology,,,,,,,,,
GNFT,GENFIT S.A. ADRs,Health Care,US Equity,ADRs,Micro cap,175848676,"14,335",Analyze,Biotechnology,,,,,,,,,
ANTX,"AN2 Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,174623922,"47,899",Analyze,Biotechnology,,,,,,,,,
GLSI,"Greenwich LifeSciences, Inc.",Health Care,US Equity,Common stocks,Micro cap,174274260,"55,404",Analyze,Biotechnology,,,,,,,,,
CTXR,Citius Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Micro cap,172432963,"395,569",Analyze,Biotechnology,,,,,,,,,
EIGR,Eiger Biopharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,172330450,"288,382",Analyze,Biotechnology,,,,,,,,,
GRCL,Gracell Biotechnologies Inc. ADRs,Health Care,US Equity,ADRs,Micro cap,170566235,"17,890",Analyze,Biotechnology,,,,,,,,,
IPHA,Innate Pharma S.A. ADRs,Health Care,US Equity,ADRs,Micro cap,169024753,"14,369",Analyze,Biotechnology,,,,,,,,,
ATXS,"Astria Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,168594095,"77,080",Analyze,Biotechnology,,,,,,,,,
VOR,Vor Biopharma Inc.,Health Care,US Equity,Common stocks,Micro cap,166264479,"332,584",Analyze,Biotechnology,,,,,,,,,
CRMD,Cormedix Inc,Health Care,US Equity,Common stocks,Micro cap,163477251,"325,248",Analyze,Biotechnology,,,,,,,,,
LVTX,LAVA Therapeutics N.V.,Health Care,US Equity,Common stocks,Micro cap,161870379,"38,734",Analyze,Biotechnology,,,,,,,,,
RIGL,Rigel Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,159355102,"6,054,053",Analyze,Biotechnology,,,,,,,,,
MACK,Merrimack Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,158777277,"298,715",Analyze,Biotechnology,,,,,,,,,
KMPH,"KemPharm, Inc.",Health Care,US Equity,Common stocks,Micro cap,155961976,"304,263",Analyze,Biotechnology,,,,,,,,,
ATHX,Athersys Inc,Health Care,US Equity,Common stocks,Micro cap,155712116,"1,693,686",Analyze,Biotechnology,,,,,,,,,
RLYB,Rallybio Corp,Health Care,US Equity,Common stocks,Micro cap,155367965,"165,964",Analyze,Biotechnology,,,,,,,,,
MIST,Milestone Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Micro cap,154629869,"274,808",Analyze,Biotechnology,,,,,,,,,
LIAN,LianBio ADRs,Health Care,US Equity,ADRs,Micro cap,152778902,"116,688",Analyze,Biotechnology,,,,,,,,,
ORIC,"Oric Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,150391297,"98,918",Analyze,Biotechnology,,,,,,,,,
IMRX,Immuneering Corp,Health Care,US Equity,Common stocks,Micro cap,149714830,"36,293",Analyze,Biotechnology,,,,,,,,,
TIL,"Instil Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,146554637,"824,397",Analyze,Biotechnology,,,,,,,,,
CABA,"Cabaletta Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,145069975,"959,241",Analyze,Biotechnology,,,,,,,,,
RVLP,RVL Pharmaceuticals plc,Health Care,US Equity,Common stocks,Micro cap,144764466,"63,886",Analyze,Biotechnology,,,,,,,,,
TCRT,"Alaunos Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,143955622,"1,963,327",Analyze,Biotechnology,,,,,,,,,
BIVI,BioVie Inc. Class A,Health Care,US Equity,Common stocks,Micro cap,141977660,"1,171,914",Analyze,Biotechnology,,,,,,,,,
VXRT,Vaxart Inc,Health Care,US Equity,Common stocks,Micro cap,141749013,"3,228,375",Analyze,Biotechnology,,,,,,,,,
TSHA,"Taysha Gene Therapies, Inc.",Health Care,US Equity,Common stocks,Micro cap,136124173,"767,647",Analyze,Biotechnology,,,,,,,,,
LRMR,"Larimar Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,135432596,"63,705",Analyze,Biotechnology,,,,,,,,,
NOTV,"Inotiv, Inc.",Health Care,US Equity,Common stocks,Micro cap,134882873,"1,451,329",Analyze,Biotechnology,,,,,,,,,
NBTX,Nanobiotix S.A. - ADRs,Health Care,US Equity,ADRs,Micro cap,133400210,"2,652",Analyze,Biotechnology,,,,,,,,,
DTIL,"Precision BioSciences, Inc.",Health Care,US Equity,Common stocks,Micro cap,133150746,"557,274",Analyze,Biotechnology,,,,,,,,,
ICVX,"Icosavax, Inc.",Health Care,US Equity,Common stocks,Micro cap,131222324,"94,255",Analyze,Biotechnology,,,,,,,,,
IPA,ImmunoPrecise Antibodies Ltd.,Health Care,US Equity,Common stocks,Micro cap,130911102,"12,491",Analyze,Biotechnology,,,,,,,,,
VRCA,Verrica Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,130679089,"97,088",Analyze,Biotechnology,,,,,,,,,
OMER,Omeros Corp,Health Care,US Equity,Common stocks,Micro cap,127969231,"510,483",Analyze,Biotechnology,,,,,,,,,
RAIN,Rain Therapeutics Inc.,Health Care,US Equity,Common stocks,Micro cap,127905647,"117,486",Analyze,Biotechnology,,,,,,,,,
TRVI,"Trevi Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,127635873,"60,638",Analyze,Biotechnology,,,,,,,,,
OVID,Ovid Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,126840393,"69,006",Analyze,Biotechnology,,,,,,,,,
KALV,Kalvista Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,125224297,"205,225",Analyze,Biotechnology,,,,,,,,,
CDXC,Chromadex Corp,Health Care,US Equity,Common stocks,Micro cap,123617991,"291,008",Analyze,Biotechnology,,,,,,,,,
MTNB,Matinas Biopharma Holdings Inc,Health Care,US Equity,Common stocks,Micro cap,123612780,"377,799",Analyze,Biotechnology,,,,,,,,,
SEEL,"Seelos Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,123243494,"567,100",Analyze,Biotechnology,,,,,,,,,
VBIV,VBI Vaccines Inc,Health Care,US Equity,Common stocks,Micro cap,119237485,"1,172,573",Analyze,Biotechnology,,,,,,,,,
FSTX,"F-star Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,119142001,"173,053",Analyze,Biotechnology,,,,,,,,,
MNOV,Medicinova Inc,Health Care,US Equity,Common stocks,Micro cap,117220528,"67,404",Analyze,Biotechnology,,,,,,,,,
CVM,Cel-Sci Corporation,Health Care,US Equity,Common stocks,Micro cap,116985881,"172,449",Analyze,Biotechnology,,,,,,,,,
NBY,Novabay Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,116979055,"65,778",Analyze,Biotechnology,,,,,,,,,
GLYC,Glycomimetics Inc,Health Care,US Equity,Common stocks,Micro cap,116381156,"1,157,282",Analyze,Biotechnology,,,,,,,,,
CUE,Cue Biopharma Inc.,Health Care,US Equity,Common stocks,Micro cap,116052117,"169,082",Analyze,Biotechnology,,,,,,,,,
INMB,INmune Bio Inc.,Health Care,US Equity,Common stocks,Micro cap,114854368,"41,584",Analyze,Biotechnology,,,,,,,,,
ATHA,"Athira Pharma, Inc.",Health Care,US Equity,Common stocks,Micro cap,111596450,"265,161",Analyze,Biotechnology,,,,,,,,,
NVCT,"Nuvectis Pharma, Inc.",Health Care,US Equity,Common stocks,Micro cap,110111472,"26,906",Analyze,Biotechnology,,,,,,,,,
SESN,Sesen Bio Inc,Health Care,US Equity,Common stocks,Micro cap,109975403,"995,307",Analyze,Biotechnology,,,,,,,,,
PRTK,Paratek Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,109432448,"322,186",Analyze,Biotechnology,,,,,,,,,
CTMX,Cytomx Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,108378362,"3,993,973",Analyze,Biotechnology,,,,,,,,,
ALZN,"Alzamend Neuro, Inc.",Health Care,US Equity,Common stocks,Micro cap,107894423,"349,288",Analyze,Biotechnology,,,,,,,,,
EYPT,Eyepoint Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,107020413,"137,427",Analyze,Biotechnology,,,,,,,,,
SLGL,Sol-Gel Technologies Ltd.,Health Care,US Equity,Common stocks,Micro cap,106614566,"7,052",Analyze,Biotechnology,,,,,,,,,
EPIX,Essa Pharma Inc.,Health Care,US Equity,Common stocks,Micro cap,106453845,"409,196",Analyze,Biotechnology,,,,,,,,,
FUSN,Fusion Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Micro cap,106087158,"77,196",Analyze,Biotechnology,,,,,,,,,
ONCY,Oncolytics Biotech Inc.,Health Care,US Equity,Common stocks,Micro cap,105661352,"418,155",Analyze,Biotechnology,,,,,,,,,
LYRA,"Lyra Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,105347396,"28,593",Analyze,Biotechnology,,,,,,,,,
CYTO,Altamira Therapeutics Ltd.,Health Care,US Equity,Common stocks,Micro cap,105212100,"26,937",Analyze,Biotechnology,,,,,,,,,
IFRX,InflaRx N.V.,Health Care,US Equity,Common stocks,Micro cap,104983937,"79,334",Analyze,Biotechnology,,,,,,,,,
MNMD,Mind Medicine (MindMed) Inc.,Health Care,US Equity,Common stocks,Micro cap,104545350,"567,637",Analyze,Biotechnology,,,,,,,,,
OPNT,Opiant Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Micro cap,104109284,"208,917",Analyze,Biotechnology,,,,,,,,,
PRTG,Portage Biotech Inc.,Health Care,US Equity,Common stocks,Micro cap,104040968,"27,601",Analyze,Biotechnology,,,,,,,,,
LJPC,La Jolla Pharmaceutical,Health Care,US Equity,Common stocks,Micro cap,104024104,"340,715",Analyze,Biotechnology,,,,,,,,,
MREO,Mereo BioPharma Group plc ADRs,Health Care,US Equity,ADRs,Micro cap,102988220,"474,267",Analyze,Biotechnology,,,,,,,,,
CAPR,Capricor Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,102984920,"157,463",Analyze,Biotechnology,,,,,,,,,
OLMA,"Olema Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,100734013,"120,545",Analyze,Biotechnology,,,,,,,,,
CLLS,Cellectis SA ADRs,Health Care,US Equity,ADRs,Micro cap,100704860,"98,936",Analyze,Biotechnology,,,,,,,,,
CNSP,"CNS Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,100481527,"132,273",Analyze,Biotechnology,,,,,,,,,
NRXP,"NRX Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,98756318,"549,789",Analyze,Biotechnology,,,,,,,,,
CGEN,Compugen Ltd.,Health Care,US Equity,Common stocks,Micro cap,98752093,"754,413",Analyze,Biotechnology,,,,,,,,,
IMRA,IMARA Inc.,Health Care,US Equity,Common stocks,Micro cap,98314367,"84,149",Analyze,Biotechnology,,,,,,,,,
AKUS,"Akouos, Inc.",Health Care,US Equity,Common stocks,Micro cap,97992144,"653,784",Analyze,Biotechnology,,,,,,,,,
PRAX,"Praxis Precision Medicines, Inc.",Health Care,US Equity,Common stocks,Micro cap,97535456,"291,924",Analyze,Biotechnology,,,,,,,,,
STTK,"Shattuck Labs, Inc.",Health Care,US Equity,Common stocks,Micro cap,97498348,"76,984",Analyze,Biotechnology,,,,,,,,,
ANVS,"Annovis Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,96824127,"21,482",Analyze,Biotechnology,,,,,,,,,
CLGN,CollPlant Holdings ADRs,Health Care,US Equity,ADRs,Micro cap,96460574,"23,286",Analyze,Biotechnology,,,,,,,,,
PRQR,ProQR Therapeutics N.V.,Health Care,US Equity,Common stocks,Micro cap,96242587,"1,211,009",Analyze,Biotechnology,,,,,,,,,
XBIT,Xbiotech Inc,Health Care,US Equity,Common stocks,Micro cap,95883723,"40,012",Analyze,Biotechnology,,,,,,,,,
KRON,"Kronos Bio, Inc.",Health Care,US Equity,Common stocks,Micro cap,95020285,"201,759",Analyze,Biotechnology,,,,,,,,,
GNTA,Genenta Science S.p.A. ADRs,Health Care,US Equity,Common stocks,Micro cap,94909830,"3,190",Analyze,Biotechnology,,,,,,,,,
TNYA,"Tenaya Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,94747623,"511,746",Analyze,Biotechnology,,,,,,,,,
CSBR,Champions Oncology Inc.,Health Care,US Equity,Common stocks,Micro cap,91817374,"9,895",Analyze,Biotechnology,,,,,,,,,
BCTX,BriaCell Therapeutics Corp.,Health Care,US Equity,Common stocks,Micro cap,91556306,"212,800",Analyze,Biotechnology,,,,,,,,,
ATOS,Atossa Genetics Inc,Health Care,US Equity,Common stocks,Micro cap,90409615,"380,755",Analyze,Biotechnology,,,,,,,,,
ARAV,Aravive Inc,Health Care,US Equity,Common stocks,Micro cap,87945515,"181,025",Analyze,Biotechnology,,,,,,,,,
SPPI,Spectrum Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,86818955,"1,639,908",Analyze,Biotechnology,,,,,,,,,
ETTX,Entasis Therapeutics Holdings Inc.,Health Care,US Equity,Common stocks,Micro cap,86133240,"39,735",Analyze,Biotechnology,,,,,,,,,
VACC,Vaccitech plc ADRs,Health Care,US Equity,ADRs,Micro cap,85781985,"44,646",Analyze,Biotechnology,,,,,,,,,
INKT,"MiNK Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,85140541,"45,632",Analyze,Biotechnology,,,,,,,,,
MIRO,Miromatrix Medical Inc.,Health Care,US Equity,Common stocks,Micro cap,84641647,"24,036",Analyze,Biotechnology,,,,,,,,,
EPZM,Epizyme Inc,Health Care,US Equity,Common stocks,Micro cap,84135712,"3,506,859",Analyze,Biotechnology,,,,,,,,,
XFOR,"X4 Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,83082089,"1,433,054",Analyze,Biotechnology,,,,,,,,,
VSTM,Verastem Inc,Health Care,US Equity,Common stocks,Micro cap,82985886,"1,056,295",Analyze,Biotechnology,,,,,,,,,
FIXX,Homology Medicines Inc.,Health Care,US Equity,Common stocks,Micro cap,82772078,"231,408",Analyze,Biotechnology,,,,,,,,,
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",Health Care,US Equity,Common stocks,Micro cap,81771484,"323,584",Analyze,Biotechnology,,,,,,,,,
ANEB,"Anebulo Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,81769962,"9,190",Analyze,Biotechnology,,,,,,,,,
GMDA,Gamida Cell Ltd.,Health Care,US Equity,Common stocks,Micro cap,80969204,"475,043",Analyze,Biotechnology,,,,,,,,,
IKNA,"Ikena Oncology, Inc.",Health Care,US Equity,Common stocks,Micro cap,80491634,"161,650",Analyze,Biotechnology,,,,,,,,,
IOBT,"IO Biotech, Inc.",Health Care,US Equity,Common stocks,Micro cap,79530137,"70,549",Analyze,Biotechnology,,,,,,,,,
ENLV,Enlivex Therapeutics Ltd.,Health Care,US Equity,Common stocks,Micro cap,78578997,"33,242",Analyze,Biotechnology,,,,,,,,,
DARE,Dare Bioscience Inc,Health Care,US Equity,Common stocks,Micro cap,78039443,"245,417",Analyze,Biotechnology,,,,,,,,,
CLNN,Clene Inc.,Health Care,US Equity,Common stocks,Micro cap,77511011,"178,901",Analyze,Biotechnology,,,,,,,,,
ETON,"Eton Pharmaceutcials, Inc.",Health Care,US Equity,Common stocks,Micro cap,76902992,"81,192",Analyze,Biotechnology,,,,,,,,,
VIRX,"Viracta Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,76776663,"110,612",Analyze,Biotechnology,,,,,,,,,
PHVS,Pharvaris N.V.,Health Care,US Equity,Common stocks,Micro cap,74757492,"4,117,411",Analyze,Biotechnology,,,,,,,,,
LBPS,4D pharma plc ADRs,Health Care,US Equity,ADRs,Micro cap,74599456,"3,914",Analyze,Biotechnology,,,,,,,,,
HCWB,HCW Biologics Inc.,Health Care,US Equity,Common stocks,Micro cap,73177799,"12,766",Analyze,Biotechnology,,,,,,,,,
PIRS,Pieris Pharmaceuticals Inc,Health Care,US Equity,Common stocks,Micro cap,72918128,"404,237",Analyze,Biotechnology,,,,,,,,,
CRIS,Curis Inc,Health Care,US Equity,Common stocks,Micro cap,72848241,"579,541",Analyze,Biotechnology,,,,,,,,,
DBTX,"Decibel Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,72646701,"27,510",Analyze,Biotechnology,,,,,,,,,
MGTA,Magenta Therapeutics Inc.,Health Care,US Equity,Common stocks,Micro cap,72061069,"280,231",Analyze,Biotechnology,,,,,,,,,
FBIO,Fortress Biotech Inc,Health Care,US Equity,Common stocks,Micro cap,71611336,"200,673",Analyze,Biotechnology,,,,,,,,,
GALT,Galectin Therapeutics Inc,Health Care,US Equity,Common stocks,Micro cap,70930908,"66,133",Analyze,Biotechnology,,,,,,,,,
FREQ,"Frequency Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,70524166,"82,962",Analyze,Biotechnology,,,,,,,,,
PRDS,"Pardes Biosciences, Inc.",Health Care,US Equity,Common stocks,Micro cap,70422644,"164,843",Analyze,Biotechnology,,,,,,,,,
GMTX,"Gemini Therapeutics, Inc.",Health Care,US Equity,Common stocks,Micro cap,70191870,"33,666",Analyze,Biotechnology,,,,,,,,,
CLSD,Clearside Biomedical Inc,Health Care,US Equity,Common stocks,Micro cap,69821248,"382,663",Analyze,Biotechnology,,,,,,,,,
MYMD,"MyMD Pharmaceuticals, Inc.",Health Care,US Equity,Common stocks,Micro cap,69467216,"174,834",Analyze,Biotechnology,,,,,,,,,
