Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
NOC,Northrop Grumman Corp,Industrials,US Equity,Common stocks,Large cap,81852023682,"901,805",Analyze,Aerospace & Defense,,,,,,,,,
GD,General Dynamics Corp,Industrials,US Equity,Common stocks,Large cap,68165016037,"945,591",Analyze,Aerospace & Defense,,,,,,,,,
LHX,"L3Harris Technologies, Inc.",Industrials,US Equity,Common stocks,Large cap,41652515434,"1,168,851",Analyze,Aerospace & Defense,,,,,,,,,
TDG,Transdigm Group Inc,Industrials,US Equity,Common stocks,Large cap,33029848340,"292,795",Analyze,Aerospace & Defense,,,,,,,,,
HEI,Heico Corp,Industrials,US Equity,Common stocks,Large cap,18901264935,"267,818",Analyze,Aerospace & Defense,,,,,,,,,
HEI.A,Heico Corporation Class A,Industrials,US Equity,Common stocks,Large cap,18901264935,"188,921",Analyze,Aerospace & Defense,,,,,,,,,
TXT,Textron Inc,Industrials,US Equity,Common stocks,Large cap,15359317195,"1,351,206",Analyze,Aerospace & Defense,,,,,,,,,
AXON,"Axon Enterprise, Inc.",Industrials,US Equity,Common stocks,Large cap,12057545928,"718,183",Analyze,Aerospace & Defense,,,,,,,,,
HII,Huntington Ingalls Industries Inc,Industrials,US Equity,Common stocks,Mid cap,9405662471,"511,908",Analyze,Aerospace & Defense,,,,,,,,,
ESLT,Elbit Systems Ltd.,Industrials,US Equity,Common stocks,Mid cap,7539845346,"23,315",Analyze,Aerospace & Defense,,,,,,,,,
CAE,CAE Inc.,Industrials,US Equity,Common stocks,Mid cap,6554179895,"324,072",Analyze,Aerospace & Defense,,,,,,,,,
WWD,Woodward Inc,Industrials,US Equity,Common stocks,Mid cap,5609425575,"320,349",Analyze,Aerospace & Defense,,,,,,,,,
BWXT,BWX Technologies Inc,Industrials,US Equity,Common stocks,Mid cap,5545402888,"654,857",Analyze,Aerospace & Defense,,,,,,,,,
HXL,Hexcel Corp,Industrials,US Equity,Common stocks,Mid cap,4933280655,"483,487",Analyze,Aerospace & Defense,,,,,,,,,
